video_id,title,hashtags,tags,published_at,duration
_aXexvxwkBs,露天風呂の素材に脳内まっピンクになる白雪巴 #shorts #vtuber #minecraft #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #minecraft, #切り抜き, #にじさんじ, #白雪巴","ゲーム実況, Minecraft",2024-07-11T09:00:26Z,PT35S
wZ1afNuBrC0,※罵倒注意※椅子になりたい人へ #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","ASMR, 駄犬",2024-07-08T09:00:47Z,PT1M
UdQzFjx21ts,トロッコ問題でメンタルやられまくる白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-06-30T03:00:17Z,PT1M
RqSyrs4vjMU,【#百合漫画家様対談コラボ】✨第2回ゲストは樫風先生✨「ロンリーガールに逆らえない」など【白雪 巴/にじさんじ】,#百合漫画家様対談コラボ,"百合, 百合漫画家様対談コラボ, コラボ, 樫風",2024-06-25T13:48:38Z,PT1H41M49S
fk37VaTmQng,【晩酌】紳士はつらいよ…お姉さんの一杯飲み終わるまでホロ酔いトーク #いっ杯晩酌 05【白雪 巴/にじさんじ】,#いっ杯晩酌,"雑談, 晩酌",2024-06-19T15:46:55Z,PT2H22M4S
fgYE1KMlZUU,コナンをどうしてもボイルしたくなる白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-06-16T03:00:22Z,PT36S
KgNQQNNwOGE,崩壊：スターレイルのガチャ配信で自爆する白雪巴 #shorts #vtuber #崩壊スターレイル #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #崩壊スターレイル, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-06-13T09:00:25Z,PT58S
zjoT6mFfArg,小学生レベルの漢字に完全敗北する白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-06-11T09:00:48Z,PT57S
1yilnHl_4FM,【Gartic Phone】絵ウマ勢の夏芽ちゃんと絵ヘタ勢の白雪とあなた達と参加型でやるぞいっ！【#女王と会長/にじさんじ】,#女王と会長,"ゲーム実況, パズル, Gartic Phone, #女王と会長, 来栖夏芽, コラボ",2024-06-04T13:23:39Z,PT2H14M27S
Hefv7SSmlV4,【#にじさんじスマブラ杯】お姉さんキャラしか勝たん。【白雪 巴/にじさんじ】,#にじさんじスマブラ杯,"企画, 大会, 対戦・アクションゲーム, スマブラSP, コラボ",2024-06-02T10:58:12Z,PT2H28M58S
lRRMh5MdsJg,【#百合漫画家様対談コラボ】✨第1回ゲストはまにお先生✨「きたない君がいちばんかわいい」など【白雪 巴/にじさんじ】,#百合漫画家様対談コラボ,"百合, 百合漫画家様対談コラボ, まにお先生, コラボ",2024-05-27T14:33:34Z,PT2H22M59S
